player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_total_bases,r_total_caught_stealing,r_total_stolen_base,b_sac_fly,last_name,first_name
669016,2025,27,379,425,106,68,25,2,11,110,38,25.9,8.9,0.28,0.443,0.342,0.785,43,168,1,7,4,Marsh, Brandon
669065,2025,27,399,457,115,66,21,3,25,125,48,27.4,10.5,0.288,0.544,0.368,0.912,73,217,1,5,4,Stowers, Kyle
669127,2025,27,481,523,133,70,32,0,31,103,36,19.7,6.9,0.277,0.536,0.325,0.861,72,258,1,7,5,Langeliers, Shea
669221,2025,30,291,337,58,29,13,0,16,105,35,31.2,10.4,0.199,0.409,0.3,0.709,45,119,0,0,3,Murphy, Sean
669224,2025,25,401,448,88,44,22,1,21,118,30,26.3,6.7,0.219,0.436,0.275,0.711,71,175,1,5,11,Wells, Austin
669236,2025,25,170,183,47,30,10,2,5,50,11,27.3,6.0,0.276,0.447,0.328,0.775,21,76,2,0,0,Jackson, Jeremiah
669242,2025,30,346,377,78,51,13,1,13,61,19,16.2,5.0,0.225,0.382,0.274,0.656,49,132,1,3,5,Edman, Tommy
669257,2025,30,362,436,107,69,20,1,17,89,64,20.4,14.7,0.296,0.497,0.404,0.901,61,180,3,2,5,Smith, Will
669261,2025,26,150,178,22,12,7,0,3,57,24,32.0,13.5,0.147,0.253,0.281,0.534,10,38,1,7,0,Suwinski, Jack
669289,2025,30,301,328,73,61,12,0,0,38,21,11.6,6.4,0.243,0.282,0.292,0.574,16,85,1,2,2,Espinal, Santiago
669326,2025,26,138,150,28,18,7,2,1,47,5,31.3,3.3,0.203,0.304,0.248,0.552,7,42,1,7,2,Teodosio, Bryce
669357,2025,25,351,402,72,43,14,1,14,136,47,33.8,11.7,0.205,0.37,0.296,0.666,46,130,1,1,4,Gorman, Nolan
669364,2025,25,561,619,159,131,20,5,3,88,49,14.2,7.9,0.283,0.353,0.343,0.696,43,198,7,27,3,Edwards, Xavier
669394,2025,29,356,376,84,52,15,1,16,93,12,24.7,3.2,0.236,0.419,0.269,0.688,53,149,1,1,3,Burger, Jake
669397,2025,26,371,416,82,71,11,0,0,99,31,23.8,7.5,0.221,0.251,0.284,0.535,22,93,7,8,3,Allen, Nick
669477,2025,26,312,348,74,47,15,0,12,83,27,23.9,7.8,0.237,0.401,0.305,0.706,40,125,0,0,3,Schmitt, Casey
669701,2025,27,495,563,124,89,23,2,10,100,55,17.8,9.8,0.251,0.366,0.335,0.701,35,181,3,12,1,Smith, Josh
669707,2025,27,331,376,75,48,18,2,7,76,39,20.2,10.4,0.227,0.356,0.311,0.667,24,118,2,13,1,Triolo, Jared
669720,2025,29,380,416,101,65,16,5,15,107,29,25.7,7.0,0.266,0.453,0.315,0.768,64,172,0,7,6,Hays, Austin
669743,2025,30,270,322,72,52,13,2,5,55,36,17.1,11.2,0.267,0.385,0.361,0.746,31,104,1,2,4,Call, Alex
669911,2025,26,306,337,58,31,15,1,11,132,28,39.2,8.3,0.19,0.353,0.258,0.611,32,108,0,3,2,Toglia, Michael
670042,2025,30,183,219,37,25,8,0,4,64,19,29.2,8.7,0.202,0.311,0.319,0.63,19,57,1,2,1,Raley, Luke
670156,2025,29,152,175,38,33,4,0,1,29,17,16.6,9.7,0.25,0.296,0.324,0.62,12,45,3,6,1,Mastrobuoni, Miles
670224,2025,27,197,217,42,27,9,1,5,69,16,31.8,7.4,0.213,0.345,0.273,0.618,22,68,1,8,2,Misner, Kameron
670231,2025,27,153,175,30,21,5,0,4,46,18,26.3,10.3,0.196,0.307,0.283,0.59,14,47,2,7,1,Rave, John
670242,2025,27,336,392,68,27,16,3,22,114,46,29.1,11.7,0.202,0.464,0.311,0.775,40,156,3,4,2,Wallner, Matt
670541,2025,28,165,199,45,31,8,0,6,33,28,16.6,14.1,0.273,0.43,0.367,0.797,27,71,1,1,6,Alvarez, Yordan
670623,2025,26,378,438,96,60,15,1,20,76,50,17.4,11.4,0.254,0.458,0.352,0.81,53,173,1,0,2,Paredes, Isaac
670764,2025,28,282,317,62,43,14,1,4,70,26,22.1,8.2,0.22,0.319,0.28,0.599,38,90,6,14,6,Walls, Taylor
670770,2025,29,579,685,151,113,22,2,14,115,81,16.8,11.8,0.261,0.378,0.364,0.742,53,219,3,12,5,Friedl, TJ
671056,2025,25,388,452,110,78,13,0,19,84,43,18.6,9.5,0.284,0.464,0.373,0.837,66,180,2,8,4,Herrera, Iván
671218,2025,25,620,695,159,113,24,1,21,158,52,22.7,7.5,0.256,0.4,0.328,0.728,69,248,4,6,6,Ramos, Heliot
671221,2025,26,206,219,50,40,6,3,1,60,11,27.4,5.0,0.243,0.316,0.288,0.604,14,65,3,5,0,Waters, Drew
671277,2025,25,488,526,123,78,28,1,16,84,27,16.0,5.1,0.252,0.412,0.289,0.701,66,201,5,14,9,García Jr., Luis
671289,2025,26,377,428,106,82,20,2,2,51,34,11.9,7.9,0.281,0.361,0.354,0.715,31,136,9,18,4,Freeman, Tyler
671732,2025,24,569,630,133,80,30,2,21,179,59,28.4,9.4,0.234,0.404,0.306,0.71,63,230,7,22,0,Butler, Lawrence
671739,2025,24,611,641,152,100,26,6,20,128,16,20.0,2.5,0.249,0.409,0.268,0.677,86,250,6,20,7,Harris II, Michael
672016,2025,25,148,159,34,21,8,2,3,61,6,38.4,3.8,0.23,0.372,0.274,0.646,8,55,0,6,0,Clarke, Denzel
672275,2025,26,409,452,91,64,18,3,6,133,30,29.4,6.6,0.222,0.325,0.277,0.602,55,133,0,1,6,Bailey, Patrick
672356,2025,25,432,471,95,57,25,2,11,162,27,34.4,5.7,0.22,0.363,0.274,0.637,54,157,4,8,4,Arias, Gabriel
672386,2025,26,451,506,127,94,18,0,15,59,48,11.7,9.5,0.282,0.421,0.348,0.769,76,190,0,1,6,Kirk, Alejandro
672515,2025,25,277,309,79,57,12,1,9,53,29,17.2,9.4,0.285,0.433,0.353,0.786,40,120,2,2,2,Moreno, Gabriel
672580,2025,25,595,666,170,110,39,5,16,84,62,12.6,9.3,0.286,0.449,0.351,0.8,74,267,9,23,5,Garcia, Maikel
672640,2025,26,544,594,134,98,21,0,15,82,44,13.8,7.4,0.246,0.368,0.305,0.673,77,200,6,15,3,Lopez, Otto
672695,2025,25,597,720,173,115,33,5,20,83,94,11.5,13.1,0.29,0.462,0.389,0.851,100,276,6,27,11,Perdomo, Geraldo
672724,2025,25,244,265,40,29,6,0,5,80,17,30.2,6.4,0.164,0.25,0.223,0.473,20,61,0,9,1,Peraza, Oswald
672744,2025,25,216,234,47,34,6,1,6,80,17,34.2,7.3,0.218,0.338,0.274,0.612,20,73,1,3,1,Canario, Alexander
672761,2025,25,344,383,84,50,17,4,13,87,31,22.7,8.1,0.244,0.43,0.308,0.738,43,148,3,8,5,Pérez, Wenceel
672820,2025,25,518,544,137,94,20,1,22,127,18,23.3,3.3,0.264,0.434,0.293,0.727,75,225,1,2,3,Sosa, Lenyn
673237,2025,26,542,567,139,93,25,1,20,95,20,16.8,3.5,0.256,0.417,0.284,0.701,70,226,1,1,3,Diaz, Yainer
673357,2025,27,382,431,85,59,12,0,14,112,40,26.0,9.3,0.223,0.364,0.297,0.661,53,139,8,33,3,Robert Jr., Luis
673490,2025,29,171,191,40,31,4,0,5,39,16,20.4,8.4,0.234,0.345,0.304,0.649,17,59,2,6,2,Kim, Ha-Seong
673548,2025,30,571,651,140,74,31,3,32,164,71,25.2,10.9,0.245,0.478,0.326,0.804,103,273,2,5,8,Suzuki, Seiya
673962,2025,27,482,511,121,83,23,1,14,129,27,25.2,5.3,0.251,0.39,0.294,0.684,61,188,1,4,0,Jung, Josh
676059,2025,26,328,352,87,59,10,1,17,80,17,22.7,4.8,0.265,0.457,0.313,0.77,41,150,2,1,1,Westburg, Jordan
676391,2025,29,545,588,151,105,35,2,9,61,27,10.4,4.6,0.277,0.398,0.313,0.711,50,217,5,6,5,Clement, Ernie
676475,2025,26,497,546,144,98,26,2,18,79,39,14.5,7.1,0.29,0.459,0.343,0.802,69,228,1,5,4,Burleson, Alec
676572,2025,27,476,514,119,79,28,3,9,100,32,19.5,6.2,0.25,0.378,0.296,0.674,53,180,1,4,5,Wagaman, Eric
676609,2025,28,314,370,74,50,18,1,5,98,47,26.5,12.7,0.236,0.347,0.339,0.686,36,109,11,49,2,Caballero, José
676694,2025,29,343,381,100,80,15,2,3,67,31,17.6,8.1,0.292,0.373,0.354,0.727,24,128,5,16,2,Meyers, Jake
676914,2025,26,188,227,44,28,5,0,11,60,36,26.4,15.9,0.234,0.436,0.361,0.797,31,82,1,3,1,Schneider, Davis
677008,2025,26,156,167,30,19,5,2,4,45,6,26.9,3.6,0.192,0.327,0.24,0.567,19,51,0,1,1,Kjerstad, Heston
677587,2025,24,344,383,80,55,18,2,5,77,22,20.1,5.7,0.233,0.34,0.29,0.63,44,117,4,8,5,Rocchio, Brayan
677588,2025,24,152,169,37,22,13,2,0,37,15,21.9,8.9,0.243,0.355,0.314,0.669,16,54,1,3,1,Tena, José
677594,2025,24,652,710,174,107,31,4,32,152,44,21.4,6.2,0.267,0.474,0.324,0.798,95,309,6,30,2,Rodríguez, Julio
677595,2025,24,168,184,38,26,6,0,6,54,15,29.3,8.2,0.226,0.369,0.293,0.662,10,62,0,4,0,Mauricio, Ronny
677649,2025,26,205,219,46,32,14,0,0,55,8,25.1,3.7,0.224,0.293,0.266,0.559,14,60,2,11,1,Duran, Ezequiel
677800,2025,26,373,417,92,53,17,0,22,101,40,24.2,9.6,0.247,0.469,0.317,0.786,69,175,3,6,3,Abreu, Wilyer
677942,2025,26,230,266,53,33,12,1,7,86,22,32.3,8.3,0.23,0.383,0.323,0.706,28,88,6,4,1,Alexander, Blaze
677950,2025,25,433,469,108,77,19,3,9,122,21,26.0,4.5,0.249,0.37,0.289,0.659,38,160,4,7,4,Thomas, Alek
677951,2025,25,623,687,184,108,47,6,23,125,49,18.2,7.1,0.295,0.501,0.351,0.852,88,312,9,38,7,Witt Jr., Bobby
678009,2025,25,191,213,41,29,6,2,4,56,21,26.3,9.9,0.215,0.33,0.291,0.621,16,63,0,4,1,Meadows, Parker
678246,2025,25,504,569,118,68,32,2,16,100,56,17.6,9.8,0.234,0.401,0.316,0.717,60,202,0,6,3,Vargas, Miguel
