"last_name, first_name","player_id","year","player_age","avg_swing_speed","fast_swing_rate","avg_swing_length","attack_angle","attack_direction","ideal_angle_rate","vertical_swing_path","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_contact_percent","sprint_speed"
"Madrigal, Nick",663611,2023,26,"66",2.5,"6.4",4.4,0.8,43.5,26.6,"86.2","3.7",29.9,0.8,2,17.9,45.8,5.6,27.5,59.5,4,29.6,79.1,"28.0"
"Larnach, Trevor",663616,2023,26,"73.3",25.5,"7.6",12.9,-8.3,41.8,39.6,"90.1","17.5",41.6,13.3,12.4,28.3,20.4,4.4,49.6,63.5,24.5,23.1,37.3,"26.7"
"Mountcastle, Ryan",663624,2023,26,"76.5",67.7,"7.4",4.5,3.2,30.9,37.8,"91.4","12",35.9,12.1,7.1,21.7,33.4,0.9,44.9,73.7,17.5,38.7,54.4,"28.2"
"Hayes, Ke'Bryan",663647,2023,26,"72.4",21,"6.9",6.2,-2.4,44.3,28.8,"92.2","13.2",34.1,7.4,9.9,24.7,29.5,1.5,48.3,61,10.7,30.7,58.8,"27.1"
"Tucker, Kyle",663656,2023,26,"71.9",22.8,"7.6",10.8,-8.6,46.8,37,"90.2","14.8",35.4,10.6,8.1,27,25.4,3.9,45.9,71.8,12.6,21.6,61.3,"26.6"
"India, Jonathan",663697,2023,26,"71.3",25.1,"7.3",10.3,-5.3,51.5,29.9,"89.5","15.2",37.2,7.7,7.7,27.8,28.4,2.8,38.6,56.9,15.2,19.6,57.7,"27.8"
"Raleigh, Cal",663728,2023,26,"75",49.9,"7.8",16.3,-7.4,50.3,31.1,"89.5","20.3",36.5,12.6,7,33.4,23,2.5,41,71,21.2,31.4,53,"27.0"
"Fortes, Nick",663743,2023,26,"70.3",9.1,"7.1",4.7,-6.2,45.7,23.3,"88.2","13.9",27.1,3.8,5.8,30.4,35.4,3.3,35,65.3,11.9,25.6,69.4,"27.6"
"Grisham, Trent",663757,2023,26,"70.5",8.4,"7.6",17.9,3.1,49.4,32.6,"90.3","18.3",32.8,11.9,7.5,26.9,24.1,8.1,40,60.3,22.1,21.6,53.5,"27.7"
"Vierling, Matt",663837,2023,26,"71.3",12.7,"7.5",4.5,1.4,41,30.4,"89.1","9.1",32.2,4.6,5.1,21.7,38.2,3,42.8,59.1,13.2,28.5,66.6,"29.1"
"Stephenson, Tyler",663886,2023,26,"70.4",2.3,"7.5",11,1.7,51.2,37.6,"89.4","8.9",33.5,7.6,9.4,17.2,34.4,3.3,43.5,61.8,19.7,24.1,50,"26.9"
"Rodgers, Brendan",663898,2023,26,"72.1",28.5,"7.1",5.4,-0.9,44.7,30.5,"88.3","4.8",35.8,10.9,5.1,15.3,43.1,3.6,40.1,65.4,14.2,30,49,"26.3"
"Lowe, Nathaniel",663993,2023,27,"74.2",40.7,"7.4",6.4,10.1,43.8,31.4,"89.8","7.2",36.7,6.5,6.3,19.1,35.8,2.6,41.6,67.2,14.1,20.8,58.6,"27.3"
"Happ, Ian",664023,2023,28,"71.8",19.7,"6.9",9.7,-1,46.6,31.7,"89.9","13",36.7,9,5.5,27.3,30,2.5,39,67,18.3,22.9,55.1,"27.7"
"France, Ty",664034,2023,28,"71.8",19.7,"7.8",13,0.5,49.2,35.3,"87.5","13.7",36.9,6.8,5.1,25.3,29.3,4.5,38.6,74,10.9,33.4,54.9,"25.0"
"Lowe, Brandon",664040,2023,28,"73.3",31,"7.1",15,-4.5,49.7,35.8,"91.4","16",32.6,10.7,7.3,28.4,27.6,2.7,47.5,75.3,19.6,30,39.6,"27.3"
"Bader, Harrison",664056,2023,29,"70.8",14.8,"7.2",11.4,-8.8,52.5,24.4,"85.9","17.8",32.8,5.3,7.5,33.6,29.1,4.2,31.7,63.3,13.6,35.6,58.1,"28.8"
"Moore, Dylan",664238,2023,30,"72.3",24.1,"7.3",11.8,-9.1,51.4,34.3,"89","21.4",40.4,16.9,11.2,31.5,21.3,4.5,44.9,63.6,23.5,28.4,44.3,"27.7"
"Straw, Myles",664702,2023,28,"66.1",1.1,"6.7",2.1,4.4,32.4,33.8,"86.3","9.4",34,0.5,2.4,28.4,35.3,5.3,23.3,60,11.5,23.9,77.6,"29.2"
"Isbel, Kyle",664728,2023,26,"71",9.5,"7.2",5.6,-6.8,43.9,22.9,"89.4","14.6",32.2,5.5,5.5,29.2,30.9,5.1,39.8,63.5,11,28.8,55.8,"27.6"
"Bohm, Alec",664761,2023,26,"72.1",20.6,"7.4",7,2.1,51.7,31.6,"89.4","11.1",35.1,5.7,7,24.7,33.6,2.3,41.7,68.9,11.9,30,67.2,"26.6"
"Wade Jr., LaMonte",664774,2023,29,"72.8",26.3,"7",10.7,-6.7,44.9,32.1,"88.4","17.4",33.6,9.1,5.8,28.1,24.3,7.3,39.8,62,12.4,17.9,51,"26.0"
"Zavala, Seby",664874,2023,29,"68.9",15.3,"7.2",17.8,-3.5,51.4,40.9,"87.5","14.9",34.9,5.5,8.3,28.4,23.9,8.3,36.7,71.4,26.5,36.3,37,"26.4"
"Brown, Seth",664913,2023,30,"73.8",32.3,"7.3",12,-8.7,54.1,32.1,"90.5","16.4",32.7,12.2,9.8,29.4,23.7,4.1,46.5,71.3,17.5,31.1,39.7,"27.3"
"McCarthy, Jake",664983,2023,25,"68.8",7.1,"6.9",10.8,-3.1,56.4,34.6,"85.3","7.5",32,2.3,6.8,17.8,39.3,9.1,23.7,71,12.2,31.6,54.4,"30.0"
"Maton, Nick",665155,2023,26,"69.5",7.1,"6.4",14,-3.3,39.4,38.8,"86.1","18.2",31.8,8.4,2.8,37.4,27.4,5.6,31.5,67.5,23.3,25.9,50.9,"27.2"
"Peña, Jeremy",665161,2023,25,"71.7",16.2,"8",10.8,-3,49.8,33.3,"88","5.5",32.4,4,5.3,18.9,39.1,4.2,35.8,73.2,13.3,36,44.9,"29.4"
"Tatis Jr., Fernando",665487,2023,24,"72.9",30.1,"7.4",11.9,-0.5,63.6,30.5,"91.9","11",31.5,11,7.8,20.8,32.4,2.7,49.3,78.8,22.6,32.3,52.3,"29.3"
"Guerrero Jr., Vladimir",665489,2023,24,"75.5",52.2,"7.6",2,-5.6,29.5,27.5,"92.1","10.5",32.4,11.1,6.1,22.1,33.6,3.8,49.2,74.2,15.3,28.9,58.9,"26.4"
"Soto, Juan",665742,2023,24,"74.6",48.3,"7.3",9.3,4.2,57.2,26.6,"93.2","6.7",28.5,13,7.6,17.1,35.5,3.1,55.3,57.8,14.2,16.6,60.2,"26.8"
"Taveras, Leody",665750,2023,24,"71.3",15.1,"7.4",4.4,-2.5,36.3,31.6,"90.1","10.2",35.2,7.2,5.5,21.4,34.4,2.7,43.1,70.9,16,28.2,55.5,"29.1"
"Amaya, Miguel",665804,2023,24,"73.7",37,"7.4",10.2,-6.6,63,27.8,"87","18.6",34.4,9.7,6.5,32.3,21.5,7.5,33.3,64.4,17.4,28.2,50,"26.0"
"Cabrera, Oswaldo",665828,2023,24,"70.2",5.9,"7.2",11.2,-0.3,53.4,32.8,"87.8","13.4",27.7,3.5,5.2,29.9,33.3,7.8,32.5,71.9,16.6,27.8,57.6,"27.8"
"Chisholm Jr., Jazz",665862,2023,25,"73",31.1,"7.5",15.6,-2.3,55.6,36.2,"90.3","10.7",25.3,12.2,6.3,20.7,34.6,6.8,41.8,64.4,27.3,27,44.2,"28.4"
"Ruiz, Esteury",665923,2023,24,"70.1",12.6,"7.4",10.9,-2,49.5,35.2,"82.7","9.9",32.7,2.5,3.4,22.8,38,8.2,20,69.9,17.1,34.5,58.6,"29.6"
"Giménez, Andrés",665926,2023,24,"68.8",5.9,"7",10.7,-1.2,49.8,32.3,"84.8","13.1",29.9,5.5,4.2,27.2,31.6,10,27,71.1,18.4,40,63.5,"29.2"
"Fermin, Freddy",666023,2023,28,"68.8",6.8,"7.3",11.2,1.9,51.1,38.6,"89.9","11.7",35.1,9.9,3.5,21.1,32.7,5.8,42.7,80.8,16.3,30,55.6,"27.1"
"Jones, Nolan",666134,2023,25,"72.4",27.9,"6.8",6.8,2,41.3,37.5,"90.1","9.8",34.7,15.7,3.7,21.5,29.3,5.4,41.3,57.5,28.3,26.1,60.4,"28.4"
"Kirilloff, Alex",666135,2023,25,"70.3",4.4,"7.5",16.6,4.2,52.2,34.2,"88.6","12.4",40.2,7.4,8.3,22.1,28.9,3.4,37.7,64.8,17.4,33,56,"27.2"
"Lowe, Josh",666139,2023,25,"73.9",40.7,"7.2",5.9,0.6,42.8,35.7,"89.1","14.3",36.2,11,4.1,25.2,29.9,3.2,39.7,73.3,22,35.8,55,"28.7"
"Moniak, Mickey",666160,2023,25,"72.9",28.9,"7.7",13.7,-4.6,47.1,35.2,"89","19.7",38.9,12.6,3.5,27.8,19.7,5.1,39.2,78.4,28,46.7,44.2,"28.6"
"Sabol, Blake",666165,2023,25,"71.6",11.9,"7.4",17.6,1,46.6,37.7,"89.1","16.1",31,11.2,6.1,23.4,31,10.2,38.6,75.7,27.9,28,42.8,"27.4"
"Benson, Will",666181,2023,25,"70.3",9.9,"7.4",13.1,-0.5,53.3,34.8,"90.2","14.6",40.5,10.3,9.2,23.2,25.9,3.8,42.2,65.9,23.6,19.4,41.7,"28.8"
"Bichette, Bo",666182,2023,25,"70.3",16.3,"7.2",4.8,4.2,36.8,38.8,"90.2","6.2",38.3,9.6,6.1,14,32.6,5.3,44.9,77.1,13,36.4,62,"27.1"
"Carlson, Dylan",666185,2023,24,"69.9",9.6,"7",11.2,-1.4,55.8,38,"89.3","15",34.1,5.8,8.1,27.2,32.4,1.7,37.6,68,17.5,24.9,63.9,"27.6"
"Naylor, Bo",666310,2023,23,"72.1",24.2,"7.3",9.5,-0.8,51.2,30.9,"87.7","21",37,8.2,3.4,38.4,24.7,2.1,30.8,66.5,15.1,23.9,60.8,"27.4"
"Julien, Edouard",666397,2023,24,"71.1",11.8,"6.8",13.2,10.5,46.7,44.4,"89.5","8",38.8,13.1,7.5,14,38.3,2.3,44.9,61.3,22.2,14.3,41.9,"27.0"
"Morel, Christopher",666624,2023,24,"75.8",56.6,"8",13.9,-6.7,73.8,28.5,"92.1","12.4",29.5,15.9,5,24,31.8,3.1,50,71.9,28,28.9,41.9,"28.6"
"Castro, Rodolfo",666801,2023,24,"72.1",17.9,"7.7",14,-5.8,46.4,37.5,"87.2","7.6",27.9,7.8,2.6,22.7,41.6,5.2,35.1,68.6,21.7,27.4,40,"27.3"
"Alu, Jake",666906,2023,26,"67.9",2.4,"6.7",9.4,-0.8,46.2,35.5,"88.6","5.1",35.8,2.5,5.8,17.5,43.3,1.7,33.3,66,20.3,32.9,60.2,"28.1"
"García, Adolis",666969,2023,30,"73.7",39.2,"7.9",12,-1.4,60.1,31.2,"92.1","15.7",36,16.1,8.5,25.4,28,2.1,49.7,71.5,23.6,29.4,51.8,"27.3"
"Gurriel Jr., Lourdes",666971,2023,29,"69.9",4.8,"7.3",8.6,-1.2,49.2,34.9,"89.7","10.6",35.3,8.4,6.9,23.6,33.6,2.9,46,67.5,11.8,30.4,65.8,"27.1"
"Julks, Corey",667452,2023,27,"71.4",10.9,"7",8.2,-4.1,40,37.3,"87.9","17",36,4.9,5.3,29.8,28.9,3.1,36,62.5,18,30.2,60.6,"28.4"
"Rooker, Brent",667670,2023,28,"73.6",34.2,"7.2",12.9,-4.2,43.7,37.4,"91.6","17.6",37.3,15.6,7.1,28.5,23.1,3.4,49.5,66.1,26.5,27.4,35.4,"27.1"
"Arozarena, Randy",668227,2023,28,"72.9",32.4,"7.5",10.5,0.7,66,25.7,"91.7","11.3",31.8,12.3,7.8,24.3,32.8,3,48.4,61,23.5,27.5,60,"28.4"
"Pratto, Nick",668472,2023,24,"69.6",6.8,"7.1",13.6,-8.8,33.5,41.3,"87.5","13.4",40.7,8.1,6.4,24.4,26.2,3.5,41.9,58.8,21.8,27.5,36,"26.3"
"Rogers, Jake",668670,2023,28,"70",4.5,"7.4",16.8,0.3,55.9,31.9,"90.4","14.7",40.3,12,10.2,22.2,27.3,4.2,45.6,66.3,25.4,22.7,48.3,"27.2"
"Bleday, JJ",668709,2023,25,"72.6",19.3,"7.3",16.5,-2.1,60.2,34.9,"88.6","15.5",29.9,6.4,4.3,32.6,33.2,2.1,35.3,68.5,20.6,20.2,47.6,"27.2"
"Steer, Spencer",668715,2023,25,"71.5",11.6,"7.4",10.5,-6.1,52.6,29.7,"88.7","15.3",35.3,6.7,6.5,29.5,28,3.1,37.1,63.1,17.2,23.9,57,"28.4"
"Baddoo, Akil",668731,2023,24,"72.2",29.3,"7.6",11.5,0.8,47.2,30.5,"88.1","10.8",26.5,6.2,3.5,27,36.7,3.5,36.8,68.6,15.1,25.7,48.1,"29.0"
"Knizner, Andrew",668800,2023,28,"71.5",14.3,"7",9.8,-2.8,66,25.8,"89.6","14.3",26.8,7.9,6.7,30.5,29.3,5.5,40.9,72.1,21,37,60.5,"25.9"
"Reynolds, Bryan",668804,2023,28,"70.2",10.9,"6.9",13.3,0.5,47.8,38.5,"90.9","10.9",36.9,11.1,6.6,19.5,32.4,1.6,47.3,73.1,17.9,25.8,47.3,"27.8"
"Vientos, Mark",668901,2023,23,"73.7",40.7,"7.5",14.9,0.5,57.7,33.4,"92.5","9.5",24.2,10.7,6,18.1,34.2,3.4,51,70.1,28.3,36.4,47.4,"26.3"
"Lewis, Royce",668904,2023,24,"75.3",53.8,"7.8",10.6,-5.8,71,25.6,"90.2","16.2",33.3,11.7,6.8,27.8,27.8,4.3,42,65.7,18.5,28.5,52,"28.2"
"Turang, Brice",668930,2023,23,"68.6",3.9,"6.5",5.3,0,39.3,29.3,"85.5","12.6",34.3,2.9,6.3,28.9,31.4,7,27,67.2,16.3,27.3,64,"29.4"
"Rutschman, Adley",668939,2023,25,"70.3",9.7,"6.9",9.2,1.7,49.7,37.6,"88.4","12.6",37,7.5,6.5,23.8,30.3,3.3,38.6,60.7,10.7,23.4,72.9,"27.0"
"Rojas, Josh",668942,2023,29,"67.8",0.9,"7.3",12,-3,59,33.3,"87.1","13",35.6,3.8,5.9,28.5,29.3,3.3,28.9,61.8,16.4,25.9,56.5,"26.7"
"Melendez, MJ",669004,2023,24,"72.1",21.2,"7.7",14.2,1.4,48.9,32.1,"93.2","16.9",34.6,11.4,8.2,29.4,24,1.1,49.6,69.3,27.4,26.8,47.9,"27.6"
"Marsh, Brandon",669016,2023,25,"71.8",14.5,"7.2",10,3.7,42.2,40.7,"91.3","12.4",37.7,9.1,8.3,22.3,30.2,3,48.7,61.5,17.5,25.6,51.3,"28.6"
"Langeliers, Shea",669127,2023,25,"74.7",48.1,"7.2",12.4,-4.4,64.6,29.6,"90.6","19.6",30.8,13.3,6.8,33.1,26.9,2.9,44.5,70,24,31.1,50.2,"28.4"
"Campusano, Luis",669134,2023,24,"68.8",5.9,"7.6",8.1,-1.8,64.9,26.6,"88.5","13.2",38.5,7.7,5.6,21,29.4,2.1,40.6,74,14,35.5,73.1,"25.8"
"Murphy, Sean",669221,2023,28,"74.4",47.2,"7.8",10.8,-1.6,50.6,31.3,"91.5","13.1",38.1,16.1,6.2,23.8,30,2.9,45.8,69.5,19.1,23,53.9,"26.0"
"Senzel, Nick",669222,2023,28,"69.6",2.5,"7.6",11.4,-4.5,54.1,33.2,"87.4","15.2",29.3,4.8,5.7,29.7,27.9,3.9,34.1,70.7,15,26.8,60,"28.3"
"Edman, Tommy",669242,2023,28,"70.9",16.1,"6.9",7.4,-0.5,55.1,24.3,"89.1","7.5",27.9,5,5.7,23.1,38.1,3.7,38.8,61.9,7.8,28.6,65.1,"28.8"
"Smith, Will",669257,2023,28,"68.6",3,"7.2",8.9,1.6,61.3,35.2,"89.3","15.6",37.5,6.7,9.3,29.5,27.1,2.3,41.6,67.9,16.2,25,72.4,"27.2"
"Suwinski, Jack",669261,2023,24,"73.8",36.2,"7.3",11.5,-5,48.9,34.3,"90.5","22.4",34.2,15.7,7.5,34.2,20.6,3.6,43.4,61.1,22.2,18.2,44.9,"28.6"
"Espinal, Santiago",669289,2023,28,"69.4",4.9,"7.5",6.9,-0.3,56.7,32.9,"87","11.4",33,1,5.1,26.9,34,4.6,29.4,63.7,11.5,25.3,67.5,"26.9"
"Miranda, Jose",669304,2023,25,,,,,,,,"87.9","10.1",29.7,4.2,4.2,22.9,40.7,0.8,37.3,73,18.2,34.9,63.2,"26.6"
"Gorman, Nolan",669357,2023,23,"74",37.3,"7.5",18.8,-1.8,38,36.7,"91","22.2",38.8,16.5,7.3,29.6,19.6,2.7,48.5,72.9,28.2,27.6,46.9,"26.5"
"Burger, Jake",669394,2023,27,"76.1",65.2,"7.7",9.4,-8.6,59.9,24.3,"91.9","12.3",33.4,16.7,6.9,20.7,30.8,2.9,49.6,70.8,21.5,38.5,44.5,"28.0"
"Allen, Nick",669397,2023,24,"66.2",0.6,"6.5",4.9,0.9,43.5,27.7,"84.8","6.8",29,1.2,3.9,24.3,42.5,8.5,26.6,68,10.9,29.1,60.4,"27.9"
"Schmitt, Casey",669477,2023,24,"70.5",15.7,"7.2",7.6,-3,47.1,34,"88.1","15.1",32,6.7,3.6,28.9,30.4,5.2,34,71.5,17.1,38.5,54.1,"28.0"
"Smith, Josh",669701,2023,25,"69.5",5.1,"6.4",8.4,0.2,45.6,35.3,"88.5","12.5",30.8,10.5,7.7,25.9,32.2,4.2,36.4,62.2,14.1,22.2,58.3,"28.5"
"Triolo, Jared",669707,2023,25,"69.3",2,"8",12.1,-3.6,48.8,39.8,"86.6","10.6",39.5,5.9,6.7,21,27.7,4.2,33.6,62.8,22.4,25.9,44.6,"28.4"
"Hays, Austin",669720,2023,27,"71.8",14,"7.1",11.5,-1.4,60.3,28.6,"89.4","10.4",31,8.9,7.6,25.5,32.3,2.1,40.1,63.8,17.4,30.9,50.9,"27.4"
"Call, Alex",669743,2023,28,"70.2",14.2,"7.2",11.8,-6.1,59.4,29.4,"86.8","17",30.5,5.3,5,34.8,27.5,7.9,30.1,61.3,12.5,19.8,63,"28.8"
"Toglia, Michael",669911,2023,24,"75.2",52.8,"7.6",12.4,-4.3,36.9,34.5,"90.2","16.7",31.9,5.5,7.7,28.6,24.2,4.4,44,71.8,20.9,30.3,23.7,"28.0"
"Lopez, Nicky",670032,2023,28,"65.4",0,"6.8",9.7,10.3,54.4,30.1,"86.7","0.5",32.1,1.1,5.3,16.3,47.9,4.7,23.7,67.9,15.4,26.7,59.8,"27.7"
"Raley, Luke",670042,2023,28,"75.7",60.4,"7.5",14.6,-7.9,58.7,28.8,"91.1","17.3",29.3,12.9,5.2,26.7,30.6,3.9,45.7,74.7,26.8,31.3,35.5,"28.8"
"Short, Zack",670097,2023,28,"70.5",1.7,"7.1",10.3,-2.9,61,32.2,"87.6","21.2",33.3,8.8,6.3,34.6,24.5,5.7,33.5,64.2,18.6,16.4,47.4,"28.1"
"Wallner, Matt",670242,2023,25,"77.4",75.9,"7.5",13.4,-1.3,49.5,34.3,"91.9","21",32.3,18.8,6,31.6,23.3,3.8,48.1,69.8,31.4,26.9,52.3,"28.0"
"Alvarez, Yordan",670541,2023,26,"76.7",70.7,"7.6",10,-5.7,45.2,34.3,"93.3","17.1",35.7,18,7.1,27.3,23.3,3.1,52.2,64.7,13.3,26.1,58.5,"26.3"
"Paredes, Isaac",670623,2023,24,"68.1",4.5,"8.1",15.8,-17.1,56.5,33,"86.9","22.2",32.4,5.9,5.9,35.5,24.2,3.3,28.5,66,10.8,28.3,67,"26.1"
"Walls, Taylor",670764,2023,26,"69.3",4,"7.3",14.2,-4.3,61.6,32,"86.7","19.1",32.1,3.3,5.7,36.8,25.9,3.8,28.8,65.6,21.6,17.8,50,"28.2"
"Friedl, TJ",670770,2023,27,"68.6",3.6,"6.7",8.4,-9.7,58,28.5,"86.7","16.1",32,3.2,2.2,30.6,26.9,10.3,27.6,59.1,11.4,24.6,64.2,"28.3"
"Casas, Triston",671213,2023,23,"75.8",61.6,"7.8",13.5,-2.2,50.9,38.3,"91.1","15.7",36.1,13.1,7.5,28.5,27.2,2.3,46.6,66.5,22.7,22.1,56.4,"24.9"
"Waters, Drew",671221,2023,24,"73",31.9,"6.9",14.7,-0.3,43.6,42.3,"87.4","17.2",38.4,10.1,7.6,25.3,24.7,4.5,35.9,73,23.1,31.8,48,"28.7"
"García Jr., Luis",671277,2023,23,"71.4",18.8,"7.2",10.4,0.8,58.9,31.5,"88.3","4.6",31.9,5.8,6.3,18.2,42.8,2.8,36.5,74.1,12.5,30.8,71.1,"27.2"
"Freeman, Tyler",671289,2023,24,"72.3",21.9,"7.4",3,-1.1,26.9,33.3,"85.8","6.2",38.9,3.2,7.1,15.1,37.3,11.1,38.1,66,11.9,29.2,68.8,"28.6"
"Harris II, Michael",671739,2023,22,"73.7",34,"7.9",5.6,0.7,44.5,29.5,"90.9","7.6",34.6,10,5.9,18.1,35.5,4.4,48.5,68.2,17.8,38.1,64.2,"28.8"
"Bailey, Patrick",672275,2023,24,"70.1",6.9,"7.3",10.9,-0.9,50,33.7,"88.7","10.2",36.2,10,4.4,20.5,33.6,3.5,38.4,65.1,18.1,26.6,52.7,"26.2"
"Kelenic, Jarred",672284,2023,23,"72.2",21.3,"7.1",12.5,-1.3,48,31.9,"90.9","10.1",38.8,9.5,9.9,16.9,31,1.7,45.5,66.4,22.7,28.6,42.3,"28.0"
"Arias, Gabriel",672356,2023,23,"74.9",47.8,"7.5",7,3.9,45.6,29.3,"91.1","3.7",31,9.9,5.4,17.2,40.9,4.4,46.3,76.8,29.2,33.2,42,"28.0"
"Kirk, Alejandro",672386,2023,24,"70.1",18,"7.2",5.8,1.9,52.7,22.9,"87.6","6.3",31.9,5.2,5.5,20.4,37.7,5.2,38.3,57.4,7.5,26.7,76.4,"23.7"
"Diaz, Jordan",672478,2023,22,"73.3",33.4,"7.5",7.4,-0.3,47.9,26.5,"90","5.4",29.9,6.4,8.8,17.6,46.1,2.5,43.6,76.3,16.3,37,44,"25.3"
"Moreno, Gabriel",672515,2023,23,"70.3",13.6,"7.1",7.5,7.5,41.7,35.3,"89.8","4.2",32.6,4.8,6.2,15.4,42.1,2.9,41.8,57.3,12,26.3,62.2,"27.2"
"Garcia, Maikel",672580,2023,23,"69.8",5,"7.1",7.3,8.2,58.8,28.6,"91.8","6.1",36.9,3.9,9.4,16.1,35.3,2.8,50.6,63.6,15.6,20.6,67.2,"28.2"
"Perdomo, Geraldo",672695,2023,23,"65.7",2.5,"6.7",9.4,-1.1,47.9,35.8,"85.7","16.4",35.4,0.9,4.4,35.7,28.3,10.3,19.5,59.4,10.6,17.2,67.8,"27.2"
"Peraza, Oswald",672724,2023,23,"71.9",20.7,"7.4",10.2,-8.1,47.7,26.9,"87.2","9.8",27.6,4.1,4.1,22.8,42.3,6.5,28.5,72.9,22.5,27.8,41.3,"28.7"
"Marcano, Tucupita",672779,2023,23,"65.7",3.3,"7.4",14.6,-0.7,63.3,34.6,"88.3","14.4",32,5.2,5.2,27.9,26.7,8.7,34.9,72.4,10.1,29.4,69.9,"27.6"
"Sosa, Lenyn",672820,2023,23,"70.8",15.9,"7.4",9.6,5.4,53.4,35.5,"89.4","14.1",30.5,7.8,6.3,25,28.1,7,38.3,65.4,16.3,40.6,63.5,"27.6"
"Diaz, Yainer",673237,2023,24,"73.7",36.8,"7.5",11.1,3.9,55,30.3,"90.3","11.5",36.9,12.2,7.3,21.3,31,3.5,43.9,76.4,17.2,44,57.6,"27.6"
"Robert Jr., Luis",673357,2023,25,"75.9",62.7,"7.9",11.9,-6.2,51.8,35.2,"89.1","16.1",38,15.4,5.6,25.8,25.3,4.8,42.3,78.1,21.4,40.6,45.7,"28.7"
"Kim, Ha-Seong",673490,2023,27,"67.6",3.7,"6.9",6.2,-1.8,53.9,25.2,"86.2","13.6",36.1,4.2,5.7,29.5,30.2,4.7,26.7,55.1,14.8,20.4,72.8,"28.5"
"Suzuki, Seiya",673548,2023,28,"72.5",31.1,"7.1",4.8,1.2,42.1,31.5,"91.4","10.8",36.5,10.5,8.2,20.2,30.6,3.1,48,60.5,15.8,19.8,60.5,"28.5"
"Jung, Josh",673962,2023,25,"71.4",13.1,"7",12.5,1.8,45.3,38.9,"91.8","15",41.9,11.9,7.9,25.5,25.5,1.8,47.4,72.7,20.6,32.9,52.1,"26.8"
"Westburg, Jordan",676059,2023,24,"70.3",8.2,"6.9",11.3,-2.9,61.4,31.3,"90.2","13.4",38.1,6.5,10.3,23.9,29.7,1.9,44.5,69.9,18.2,28.4,55.6,"28.9"
"Noda, Ryan",676116,2023,27,"72.3",27.6,"7.3",15.1,-1,46.7,34.9,"91.2","16",38.2,13,8.8,25.2,25.6,4.6,45,65.7,27.6,19.2,29.9,"27.3"
"Velázquez, Nelson",676369,2023,24,"72.9",29.7,"7.5",14.8,-6.7,63.6,32.3,"91","14.4",31.3,21.4,2.7,26.8,29.5,4.5,49.1,73.6,24.7,29.4,46.4,"27.2"
"Burleson, Alec",676475,2023,24,"70.4",12.2,"7.6",10.6,-0.1,53.4,32.1,"89.9","12.4",36.6,5.9,8.4,24.9,31.1,5.1,41,71.5,11.7,34,70.6,"25.6"
"Caballero, José",676609,2023,26,"69.3",19.6,"6.7",9.6,-5.5,63,33.8,"83.3","21.5",33.1,3.6,4.1,36.1,24.9,7.1,23.7,57.5,15.3,29,61.4,"29.0"
"Meyers, Jake",676694,2023,27,"69.2",9.1,"7.1",11.7,-7.1,45.5,31.2,"86","13.9",34.7,6.3,6.8,29.3,33.3,4.1,27.9,69.4,17.9,26.8,48.9,"29.2"
"Trejo, Alan",676701,2023,27,"67.8",2.4,"7",12.3,0.4,49.4,37,"85.5","14.6",36.5,4.4,6.3,23.3,32.7,3.8,22.6,69.8,14.4,32.4,62.8,"26.4"
"McCormick, Chas",676801,2023,28,"71",10.1,"7.4",18.6,6.7,42.4,38.6,"88","14.6",38.4,11.1,8.7,23.5,26.6,6.2,38.8,70.6,22,30.2,55.4,"28.2"
"Franco, Wander",677551,2023,22,"71.9",20.4,"6.8",7.9,4.7,55.7,31.2,"89.4","8.9",35,7.7,5,18.8,36.3,2.1,43,63.3,9.4,26.2,71.7,"27.5"
"Rodríguez, Julio",677594,2023,22,"77.2",70.4,"8",7.9,-4.8,49.4,33.4,"92.7","8.5",31.8,11.9,7.3,20,36.4,3.3,52,72.1,16.7,37.4,51.4,"29.6"
"Duran, Ezequiel",677649,2023,24,"73.4",37.9,"7.4",8.2,0.7,47.7,27.4,"90.1","14",36.3,8.7,6.9,25.3,29.1,4.2,43.9,72.2,19.9,37.7,56.8,"29.1"
"Thomas, Alek",677950,2023,23,"70",6,"6.8",8,0.2,60.6,27.9,"88.9","2.2",28.3,5.1,6.8,15.7,43.7,4.4,41.6,63.7,13.5,33.6,51.2,"28.8"
"Witt Jr., Bobby",677951,2023,23,"75.1",53.6,"7",5.9,-0.6,50,30.8,"90.7","15.7",34.4,11.5,7.2,25.9,30.1,3,45.6,71,16.7,30.7,63.5,"30.5"
"Bae, Ji Hwan",678225,2023,23,"67.1",1.9,"6.7",1,10.7,25.8,32.3,"88.1","1.1",24.3,2,4.5,14.6,48.2,7.7,36.8,67.2,18.3,28.8,58.8,"29.7"
"Vargas, Miguel",678246,2023,23,,,,,,,,"86.8","16.6",32,6,7.5,35,27.5,5.5,31.5,68.2,17.4,20.8,61.9,"27.9"
"Tovar, Ezequiel",678662,2023,21,"72",21.5,"7.5",9.1,-2.6,39,37.5,"88","12.6",36.4,8.1,3.6,24.5,28.8,4.8,36.2,79.8,19.2,42,48.4,"28.1"
