"last_name, first_name","player_id","year","player_age","avg_swing_speed","fast_swing_rate","avg_swing_length","attack_angle","attack_direction","ideal_angle_rate","vertical_swing_path","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_contact_percent","sprint_speed"
"Wisdom, Patrick",621550,2023,31,"76.7",71.8,"8",14.9,-6.7,68.7,32.1,"92.7","21.7",33.3,20.1,4.4,29.6,22,5.7,54.7,69.9,26.8,24.1,46.6,"27.7"
"Wendle, Joey",621563,2023,33,"68.3",1.3,"7",4.5,0.6,40.1,28.9,"89.2","3.8",31.8,3.4,5.1,18.2,44.9,5.1,39.4,62.7,15,33.4,56.9,"27.8"
"Olson, Matt",621566,2023,29,"74.9",49.8,"7.3",8.3,-0.7,47.6,35.3,"93.7","16.1",31,16.4,9.2,26.1,27.2,1.8,55.5,71.5,24.4,26,62.4,"26.2"
"Duffy, Matt",622110,2023,32,"67.5",0.8,"6.7",6,-2.2,33.6,36,"86.4","8.8",35.7,2.6,1.3,22.7,39.6,3.2,33.1,64.8,15.8,28.9,58.4,"27.0"
"Margot, Manuel",622534,2023,28,"71.7",16.6,"7.2",5.2,-0.1,48.5,27.6,"87.9","10.5",28.6,3.9,5.4,23.9,36.3,4.6,37.8,69.5,16.8,31.4,58.6,"28.3"
"Reyes, Pablo",622569,2023,29,"69.5",4.7,"7.2",9.7,-1.1,71.3,28.3,"88.1","14.7",34,4,8.7,30,30.7,6,36,62,11.9,20.1,75.4,"27.9"
"Mateo, Jorge",622761,2023,28,"73.4",32.4,"7.6",4.7,-3.7,38.6,31.4,"88.4","10.4",28.3,5.3,9.4,23.8,35.7,5.3,38.5,68.1,15.9,33.9,49.4,"30.1"
"Ramírez, Harold",623912,2023,28,"72.4",30.6,"7.3",1.5,0.9,32.6,34.7,"89.1","6.1",29.4,4.6,6.4,18.7,38.8,4.6,40.7,72,17.6,43.7,57.8,"27.8"
"Santander, Anthony",623993,2023,28,"73",31.9,"7.2",7.3,-5.4,47.1,27.7,"90.6","20.2",33,10.2,8.4,34.1,21.9,3.4,46,66.9,17.9,34.4,67.6,"26.7"
"Alonso, Pete",624413,2023,28,"75.7",56.3,"7.4",13.4,-8,55,31.5,"89.5","18.2",32.3,14.7,6.4,29.5,28,3.8,40.1,61.9,17.9,27.4,56.9,"26.0"
"Arroyo, Christian",624414,2023,28,"71.9",17.5,"7.5",13,-6.8,50.9,36.3,"86.3","11.1",35.9,4.6,5.2,23.5,33.3,5.9,32.7,79.4,16.7,39.7,57.2,"27.7"
"Biggio, Cavan",624415,2023,28,"68",2.9,"6.9",11.2,-3.8,49.2,38.4,"88.4","15.7",41.4,7.4,7.4,28.1,26.1,3.9,33,61.5,15.5,15.9,41.5,"28.3"
"Conforto, Michael",624424,2023,30,"73.1",30.6,"7.2",11.8,-1.2,57.5,31.4,"88.9","11.9",31.9,7.9,7.6,26,30.6,3.6,39.8,69,17.4,24.3,56.3,"26.1"
"Frazier, Adam",624428,2023,31,"67",0.8,"7.1",11.3,-2,53.2,36.7,"85.7","15.2",40.9,3.1,3.1,32.6,29.4,2.9,23.4,67.2,11.4,28.7,61.8,"26.5"
"Trevino, Jose",624431,2023,30,"67.7",0,"7",3.9,5.6,62.5,21.8,"85.8","9.6",30.9,2.9,5.9,19.9,40.4,6.6,31.6,54.7,10.3,37.7,75.8,"24.4"
"McGuire, Reese",624512,2023,28,"67.6",1.3,"8.1",10.9,-2.3,52.5,31.4,"84","2.8",33.6,2.9,3.6,18.2,40.1,10.9,27,64.5,17.4,41.9,68.1,"25.9"
"Soler, Jorge",624585,2023,31,"75.8",61.6,"7.8",10.2,-5.8,58.5,34.1,"91.3","17.8",36.5,15,10.4,27.2,26.7,2.7,48,66.7,19.5,25.6,55.1,"26.6"
"Sosa, Edmundo",624641,2023,27,"73.1",30.6,"8",10.7,-2.2,58.3,36.3,"86.8","13.8",34.1,6.7,8.7,25.5,34.1,5.3,32.2,75.8,21.7,43.1,59.1,"29.2"
"Ibáñez, Andy",628451,2023,30,"69.7",4.7,"7.1",5.7,0.9,42.3,29.4,"89.1","12.9",33.2,9,4.8,25.3,31.8,2.4,42.9,70.4,12.8,35,59.5,"27.2"
"Cronenworth, Jake",630105,2023,29,"68.3",4.3,"6.8",5.9,2.4,33.5,32.6,"87.4","15.2",35.7,4.4,8.4,29.7,28.3,5.4,33.2,67.1,9.4,26.4,65.9,"28.3"
"Anderson, Tim",641313,2023,30,"68.8",3.1,"7.1",8.9,5.6,44.7,40.8,"87.8","2",32.4,2.9,5.9,11.8,47.2,3.5,39.4,71.5,17.7,35.3,59.1,"27.2"
"Bauers, Jake",641343,2023,27,"75.1",57.7,"7.8",14.1,-4.3,49.8,35.4,"89.1","13.8",36,18.7,5.3,23.3,26,6,48.7,66.2,24.4,24.6,41.8,"27.3"
"Bellinger, Cody",641355,2023,27,"70",6.4,"7.7",12.7,-1.8,62,32.7,"87.9","17.2",38,6.1,5.4,34,25.5,2.1,31.4,67.8,15,31,68.4,"28.3"
"Crawford, J.P.",641487,2023,28,"72",23.2,"7.6",7.5,-4.1,44.8,33,"88.3","15.1",35.3,4.8,6.5,26.6,27.3,4.8,36.2,58.4,12.7,18.6,62.6,"26.7"
"Delay, Jason",641511,2023,28,"67.1",1.7,"7.1",11.5,-1.7,48.3,36.4,"83.8","12.3",34.9,3.2,4,23.8,31.7,10.3,23,69.4,16.8,31.4,52.5,"26.4"
